Month,Marketing_Spend,Sales_Spend,Leads_Generated,Cost_Per_Lead,Total_Spend
January,9900.0,7000,300,0.030303030303030304,16900.0
February,1100.0,2000,180,0.16363636363636364,3100.0
March,6600.000000000001,9000,80,0.01212121212121212,15600.0
April,3300.0000000000005,7000,70,0.02121212121212121,10300.0
May,7700.000000000001,5000,50,0.006493506493506493,12700.0
June,4400.0,7000,80,0.01818181818181818,11400.0
July,5500.0,6000,110,0.02,11500.0
August,4400.0,9000,80,0.01818181818181818,13400.0
September,4400.0,5000,170,0.038636363636363635,9400.0
October,2200.0,8000,190,0.08636363636363636,10200.0
November,4400.0,1000,40,0.00909090909090909,5400.0
December,7700.000000000001,6000,80,0.010389610389610388,13700.0
